DATE,HOUR,LAT,LONG,MSL PRESSURE   ,TEMPERATURE   ,DEW POINT      , TEMPERATURE   ,WIND DIRECTION ,WIND SPEED     , PRECIPITATION,RELATIVE HUMIDITY
8012017,0,47.26,-113.5,1016.5,18.2,-0.6,12.7,27.4,4,0,14.5
8012017,1,47.26,-113.5,1016.6,19,-0.8,12.7,30.7,3.3,0,10.6
8012017,2,47.26,-113.5,1016.4,15.4,-0.7,12.5,14,3.9,0,24.8
8012017,3,47.26,-113.5,1016.3,14.6,-0.8,12.4,5.3,3.4,0,27.5
8012017,4,47.26,-113.5,1015.9,13.7,-1.3,12.2,16.4,1.8,0,28.9
8012017,5,47.26,-113.5,1015.7,15.9,0.4,11.8,80.1,1.2,0,27.7
8012017,6,47.26,-113.5,1015.9,15.6,0.6,11.9,69.2,2.3,0,29.8
8012017,7,47.26,-113.5,1016.8,15.4,0.7,11.6,74.6,2,0,31.1
8012017,8,47.26,-113.5,1016.4,17.7,1.3,11.5,197.1,0.7,0,24.7
8012017,9,47.26,-113.5,1016.6,19.4,2.1,11.1,203.7,3.4,0,21.7
8012017,10,47.26,-113.5,1017.1,21.1,2.8,10.9,181.3,2.7,0,18.3
8012017,11,47.26,-113.5,1017.8,22.9,1.7,10.3,178.6,3,0,7
8012017,12,47.26,-113.5,1017.9,24.6,0.5,9.8,260.7,3.5,0,-4
8012017,13,47.26,-113.5,1017.5,26,-0.5,10.6,270.7,5.2,0,-13
8012017,14,47.26,-113.5,1017.2,26.6,-1,10.9,302.9,7.2,0,-17
8012017,15,47.26,-113.5,1017.5,27,-1,11.2,301.2,6.8,0,-18.4
8012017,16,47.26,-113.5,1016,28,-2.1,12.4,306.6,7.5,0,-26.1
8012017,17,47.26,-113.5,1015.1,27.6,-3.2,12.3,320.1,7.6,0,-29.3
8012017,18,47.26,-113.5,1015.8,27.5,-2.7,12.8,339.5,5.7,0,-27
8012017,19,47.26,-113.5,1016.1,26.8,-2,12.7,346.6,5.5,0,-21.8
8012017,20,47.26,-113.5,1015.3,25.5,-0.7,12.7,352.8,4.6,0,-12.1
8012017,21,47.26,-113.5,1015.9,21.9,5.9,12.4,65.3,6.6,0,28.5
8012017,22,47.26,-113.5,1016.2,20.7,6.2,11.6,64.2,9.8,0,34.4
8012017,23,47.26,-113.5,1017.6,19.6,4.8,10.6,59.1,11.1,0,32.6
8012017,24,47.26,-113.5,1016.5,21.3,0.4,11.7,169.5,4.7,0,8.1
